Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,5,2, 3d ,5,8,8978.05,7.28503e-09,2.96973
 1s ,5,2, 3d ,1,6,8978.06,2.67918e-10,2.96973
 1s ,5,2, 3d ,3,8,8978.06,6.20557e-09,2.96973
 1s ,5,2, 3d ,7,7,8978.06,6.51495e-09,2.96973
 1s ,5,2, 3d ,5,7,8978.07,1.16508e-08,2.96973
 1s ,5,2, 3d ,7,6,8978.07,2.39295e-08,2.96973
 1s ,5,2, 3d ,1,5,8978.07,5.13295e-09,2.96973
 1s ,5,2, 3d ,3,7,8978.08,1.34921e-09,2.96973
 1s ,5,2, 3d ,5,6,8978.41,2.69941e-07,2.96973
 1s ,5,2, 3d ,3,6,8978.41,2.04426e-07,2.96973
 1s ,5,2, 3d ,7,5,8978.42,2.16071e-07,2.96973
 1s ,5,2, 3d ,5,5,8978.44,1.01962e-08,2.96973
 1s ,5,2, 3d ,3,5,8978.44,2.46188e-08,2.96973
 1s ,5,2, 3d ,1,3,8978.54,6.03727e-08,2.96973
 1s ,5,2, 3d ,7,4,8978.54,1.26996e-07,2.96973
 1s ,5,2, 3d ,5,4,8978.54,1.18928e-07,2.96973
 1s ,5,2, 3d ,3,4,8978.55,1.46969e-07,2.96973
 1s ,5,2, 3d ,5,3,8978.55,1.04302e-07,2.96973
 1s ,5,2, 3d ,9,3,8978.55,3.49645e-07,2.96973
 1s ,5,2, 3d ,3,3,8978.56,5.55621e-08,2.96973
 1s ,5,2, 3d ,7,3,8978.56,2.32049e-07,2.96973
 1s ,5,2, 3d ,1,2,8978.56,2.55408e-08,2.96973
 1s ,5,2, 3d ,7,2,8978.65,3.20521e-07,2.96973
 1s ,5,2, 3d ,5,2,8978.65,1.56498e-07,2.96973
 1s ,5,2, 3d ,1,1,8978.66,1.88147e-09,2.96973
 1s ,5,2, 3d ,9,2,8978.66,6.6892e-07,2.96973
 1s ,5,2, 3d ,3,2,8978.66,5.93461e-08,2.96973
 1s ,5,2, 3d ,9,1,8978.68,6.96464e-08,2.96973
 1s ,5,2, 3d ,7,1,8978.68,6.17129e-10,2.96973
 1s ,5,2, 3d ,5,1,8978.69,1.47089e-09,2.96973
 1s ,5,2, 3d ,11,1,8978.7,2.14051e-11,2.96973
 1s ,5,2, 3d ,3,1,8978.71,1.30454e-09,2.96973
 1s ,5,2, 4s ,5,1,8979.39,9.21845e-11,2.96973
 1s ,5,2, 4s ,3,1,8979.39,1.0422e-10,2.96973
 1s ,5,2, 4d ,1,1,8984.45,2.33436e-09,2.96973
 1s ,3,2, 1s ,7,1,0.0374212,2.99465e-28,9.34591
 1s ,3,2, 1s ,5,1,0.0376916,1.04075e-25,8.17349
 1s ,3,2, 1s ,3,1,0.0378693,7.01942e-24,6.58837
 1s ,3,2, 1s ,1,1,0.0379702,4.1824400000000004e-24,9.14739
 1s ,3,2, 2s ,5,3,7879.55,4.6943e-09,11.0545
 1s ,3,2, 2s ,3,3,7879.56,1.0891e-09,16.9379
 1s ,3,2, 2s ,3,2,7879.69,9.218e-10,16.8118
 1s ,3,2, 2s ,5,2,7879.69,3.53109e-09,10.8241
 1s ,3,2, 2s ,7,1,7879.73,5.13878e-17,16.608
 1s ,3,2, 2s ,5,1,7879.73,9.7477e-10,11.2088
 1s ,3,2, 2s ,3,1,7879.73,1.07179e-09,10.8942
 1s ,3,2, 2s ,1,1,7879.73,6.54183e-10,17.1966
 1s ,3,2, 2p ,1,4,8026.99,0.000266686,6.6379
 1s ,3,2, 2p ,3,7,8027.04,0.000509917,5.94335
 1s ,3,2, 2p ,5,7,8027.04,0.00222271,5.94128
 1s ,3,2, 2p ,3,6,8027.09,0.000447943,5.26286
 1s ,3,2, 2p ,7,4,8027.09,1.11703e-12,5.24314
 1s ,3,2, 2p ,5,6,8027.09,0.000400668,5.23705
 1s ,3,2, 2p ,3,5,8027.12,0.000115735,5.24262
 1s ,3,2, 2p ,5,5,8027.12,0.00045485,5.25246
 1s ,3,2, 2p ,5,4,8047.08,0.000750885,5.26043
 1s ,3,2, 2p ,3,4,8047.08,0.000814166,5.25558
 1s ,3,2, 2p ,7,3,8047.09,1.81136e-07,5.26009
 1s ,3,2, 2p ,1,3,8047.09,0.000477868,5.2599
 1s ,3,2, 2p ,3,3,8047.11,0.000205513,5.27879
 1s ,3,2, 2p ,5,3,8047.11,0.000811288,5.25849
 1s ,3,2, 2p ,1,2,8047.17,0.00143515,6.0475
 1s ,3,2, 2p ,3,2,8047.17,0.00229923,5.2562
 1s ,3,2, 2p ,5,2,8047.17,0.00196081,5.25796
 1s ,3,2, 2p ,7,2,8047.17,1.99795e-08,5.26978
 1s ,3,2, 2p ,7,1,8047.2,2.16934e-08,5.26319
 1s ,3,2, 2p ,5,1,8047.2,3.31505e-07,5.26664
 1s ,3,2, 2p ,9,1,0.0,0.0,5.27076
 1s ,3,2, 2p ,3,1,8047.2,2.28148e-06,6.00359
 1s ,3,2, 2p ,1,1,8047.2,7.17273e-07,5.26776
 1s ,3,2, 3d ,9,4,8810.4,1.06915e-15,9.07015
 1s ,3,2, 3s ,5,3,8853.91,8.58224e-10,7.09793
 1s ,3,2, 3s ,3,3,8853.91,2.15104e-10,9.53982
 1s ,3,2, 3s ,3,2,8854.08,1.78643e-10,7.39561
 1s ,3,2, 3s ,5,2,8854.08,6.86221e-10,10.2803
 1s ,3,2, 3s ,7,1,8854.12,3.48417e-18,10.3148
 1s ,3,2, 3s ,5,1,8854.12,2.13358e-10,7.44682
 1s ,3,2, 3s ,3,1,8854.12,2.35089e-10,7.39468
